epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3051.82,1.32443,1.17888,1.67407,0.85642,0.9,0.90357,0.55173,1.44684,1.00124,1.94107,0.0011684,0.0011684,0.0011684
44,3102.81,1.29746,1.08247,1.62141,0.87598,0.9,0.85583,0.44421,1.64829,0.99926,2.11691,0.0011486,0.0011486,0.0011486
45,3153.84,1.28394,1.11584,1.66366,0.74516,0.9,0.88263,0.51396,1.49849,0.99399,1.91977,0.0011288,0.0011288,0.0011288
46,3204.6,1.32809,1.07785,1.62868,0.76574,1,0.92577,0.55816,1.40537,0.91598,1.83517,0.001109,0.001109,0.001109
47,3255.57,1.29856,1.06166,1.63213,0.95355,0.9,0.96167,0.5911,1.46364,0.83383,1.87782,0.0010892,0.0010892,0.0010892
48,3306.53,1.24205,0.99191,1.61244,1,0.987,0.995,0.60978,1.51245,0.81231,1.88716,0.0010694,0.0010694,0.0010694
49,3358.38,1.26104,1.04827,1.62946,0.81268,0.86976,0.92821,0.41491,1.96047,1.02013,2.32032,0.0010496,0.0010496,0.0010496
50,3410.2,1.30228,1.03692,1.66837,0.97322,0.8,0.94825,0.4375,1.81605,0.93504,2.08424,0.0010298,0.0010298,0.0010298
51,3462.02,1.30388,1.02409,1.65986,0.72138,0.9,0.91756,0.58248,1.2996,0.78672,1.80035,0.00101,0.00101,0.00101
52,3514.02,1.19124,1.04408,1.5723,0.80174,0.9,0.94643,0.54659,1.44907,0.91565,1.9111,0.0009902,0.0009902,0.0009902
53,3564.25,1.24176,1.01347,1.59675,0.80441,1,0.94833,0.50481,1.71762,0.9063,2.06349,0.0009704,0.0009704,0.0009704
54,3614.92,1.16531,0.94821,1.55251,0.90148,1,0.96773,0.569,1.59597,0.81259,1.97843,0.0009506,0.0009506,0.0009506
55,3665.67,1.20793,0.95697,1.53702,0.97141,0.9,0.98591,0.60036,1.41845,0.8013,1.78608,0.0009308,0.0009308,0.0009308
56,3716.03,1.18027,0.98064,1.54223,1,0.89027,0.97833,0.63792,1.35878,0.71372,1.81263,0.000911,0.000911,0.000911
57,3766.64,1.20507,0.97706,1.58822,0.89276,1,0.98591,0.6671,1.20004,0.72128,1.62243,0.0008912,0.0008912,0.0008912
58,3817.37,1.18328,0.95166,1.51844,1,0.97115,0.995,0.66184,1.09872,0.73372,1.5685,0.0008714,0.0008714,0.0008714
