epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2031.93,2.33938,4.28587,2.61182,2.05367,0.47118,0.375,0.33232,0.14206,0.49458,0.33333,0.34908,0.16674,2.34017,3.89134,2.9702,2.35754,0.0014258,0.0014258,0.0014258
31,2111.35,2.18885,4.00063,2.5604,1.92458,0.49506,0.375,0.29104,0.11616,0.50494,0.38282,0.29715,0.14999,2.41501,3.77742,2.79698,2.39142,0.001406,0.001406,0.001406
32,2190.63,2.21929,4.19768,2.54392,1.99704,0.43369,0.25,0.28723,0.11856,0.42011,0.29167,0.2917,0.14455,2.21513,3.41086,2.50473,2.19471,0.0013862,0.0013862,0.0013862
33,2271.68,2.20659,4.11307,2.38962,1.94939,0.56738,0.27412,0.3089,0.1084,0.65391,0.31579,0.32441,0.14242,2.38941,3.75242,2.77274,2.4371,0.0013664,0.0013664,0.0013664
34,2353.17,2.10023,3.9507,2.28712,1.85015,0.49417,0.36673,0.33491,0.12894,0.44358,0.33224,0.25064,0.13413,2.43172,4.03363,2.66354,2.36421,0.0013466,0.0013466,0.0013466
35,2434.41,2.18869,4.01828,2.34555,1.90678,0.51751,0.41667,0.37532,0.1625,0.46576,0.375,0.28886,0.13784,2.37932,3.68458,2.40033,2.25622,0.0013268,0.0013268,0.0013268
36,2515.16,2.22049,4.14346,2.41218,1.86632,0.57955,0.20833,0.31199,0.11903,0.62188,0.20591,0.27181,0.0986,2.48795,3.85418,2.67431,2.34591,0.001307,0.001307,0.001307
37,2595.93,2.10819,4.00854,2.30416,1.85713,0.46724,0.29167,0.35283,0.16534,0.46724,0.29167,0.36462,0.16073,2.15803,3.61271,2.46843,2.2565,0.0012872,0.0012872,0.0012872
38,2675.27,2.12511,4.06187,2.33291,1.87201,0.49939,0.41667,0.36293,0.17911,0.50265,0.45833,0.39663,0.17582,2.15511,3.69602,2.50337,2.22381,0.0012674,0.0012674,0.0012674
39,2753.5,2.10176,4.02123,2.39154,1.83506,0.65753,0.40068,0.38746,0.16454,0.49331,0.29167,0.27323,0.14382,2.1713,3.88504,2.47457,2.25881,0.0012476,0.0012476,0.0012476
40,2831.87,2.0546,3.96596,2.32392,1.85254,0.64367,0.37641,0.43511,0.20938,0.76034,0.41667,0.45675,0.21281,2.12574,3.565,2.39771,2.25214,0.0012278,0.0012278,0.0012278
41,2910.49,2.01139,3.89676,2.24463,1.82093,0.64835,0.41667,0.41001,0.17707,0.64835,0.41667,0.40876,0.18802,2.07223,3.42416,2.18404,2.28172,0.001208,0.001208,0.001208
42,2989.63,1.9815,3.821,2.16945,1.85087,0.51893,0.41667,0.40011,0.15282,0.45882,0.375,0.32402,0.17551,2.08103,3.29057,2.21225,2.24166,0.0011882,0.0011882,0.0011882
43,3068.49,2.01119,3.92679,2.18361,1.78297,0.39637,0.25,0.28064,0.14075,0.39637,0.25,0.26355,0.13353,2.20151,3.6978,2.35633,2.25522,0.0011684,0.0011684,0.0011684
44,3148.42,1.94686,3.84744,2.18397,1.77695,0.69095,0.33333,0.33025,0.13057,0.61081,0.33333,0.29228,0.13139,2.21546,3.84137,2.32235,2.26918,0.0011486,0.0011486,0.0011486
45,3228.1,1.99938,3.86811,2.15444,1.80478,0.79423,0.32251,0.35104,0.14373,0.69277,0.28263,0.26969,0.12895,2.15719,3.81738,2.30104,2.29796,0.0011288,0.0011288,0.0011288
46,3308.17,2.11872,4.03502,2.19702,1.81457,0.76521,0.29167,0.37088,0.13938,0.39048,0.41667,0.31055,0.14401,2.27609,3.67642,2.33547,2.37237,0.001109,0.001109,0.001109
47,3389.21,2.00593,3.84651,2.20358,1.80295,0.45297,0.41414,0.34308,0.12824,0.48508,0.41667,0.31816,0.14869,2.3273,3.46132,2.42443,2.29397,0.0010892,0.0010892,0.0010892
48,3470.1,1.91194,3.83346,2.09843,1.73724,0.555,0.33333,0.36646,0.1465,0.50936,0.34659,0.35212,0.15585,2.12499,3.29886,2.24964,2.19595,0.0010694,0.0010694,0.0010694
49,3550.6,1.80129,3.56277,1.95059,1.62405,0.429,0.40728,0.35233,0.15583,0.38507,0.36562,0.27841,0.15872,2.10094,3.40772,2.2002,2.24907,0.0010496,0.0010496,0.0010496
50,3630.49,1.95922,3.74641,2.11982,1.72094,0.58516,0.33333,0.34584,0.15202,0.51117,0.29167,0.29552,0.16,2.25777,3.85872,2.44131,2.32999,0.0010298,0.0010298,0.0010298
51,3709.25,1.92082,3.77195,2.00782,1.73632,0.57592,0.375,0.3054,0.14129,0.59534,0.375,0.27741,0.1477,2.23967,4.06652,2.39942,2.34966,0.00101,0.00101,0.00101
52,3786.61,1.85653,3.61875,2.01245,1.73738,0.71343,0.41504,0.43523,0.16285,0.60826,0.41667,0.33768,0.17795,2.13621,3.9029,2.17161,2.19527,0.0009902,0.0009902,0.0009902
53,3864.88,2.0486,3.95009,2.30657,1.80222,0.51268,0.29167,0.31797,0.17039,0.59521,0.29167,0.30871,0.1532,2.0809,3.81051,2.10225,2.17171,0.0009704,0.0009704,0.0009704
54,3942.77,1.94343,3.69069,1.98512,1.72619,0.54578,0.29167,0.31086,0.16194,0.66383,0.33333,0.31207,0.15739,2.0809,3.71584,2.02358,2.1446,0.0009506,0.0009506,0.0009506
55,4021.68,1.81385,3.60168,1.90719,1.65251,0.35726,0.41667,0.30314,0.15402,0.54598,0.30117,0.33677,0.17082,2.03033,3.40072,2.10989,2.1193,0.0009308,0.0009308,0.0009308
56,4100.73,1.82506,3.61655,1.94771,1.66276,0.63282,0.29167,0.30904,0.14566,0.54798,0.33333,0.34124,0.17057,2.03206,3.33044,2.26058,2.07967,0.000911,0.000911,0.000911
57,4179.98,1.95043,3.77515,2.00588,1.71305,0.38249,0.36172,0.31339,0.16295,0.46034,0.42684,0.34713,0.18949,2.1872,3.42741,2.3188,2.24046,0.0008912,0.0008912,0.0008912
58,4258.64,1.73725,3.586,1.90538,1.6386,0.3129,0.375,0.31542,0.16369,0.52563,0.33333,0.31715,0.16383,2.09333,3.50268,2.30501,2.15741,0.0008714,0.0008714,0.0008714
59,4336.17,1.78997,3.5531,1.87506,1.70678,0.41118,0.41667,0.36495,0.17744,0.36542,0.375,0.27786,0.16197,2.11547,3.45922,2.41699,2.12273,0.0008516,0.0008516,0.0008516
60,4412.35,1.68617,3.4458,1.71116,1.59179,0.62506,0.25,0.31381,0.14817,0.62506,0.25,0.30834,0.1386,2.11381,3.56817,2.52262,2.12875,0.0008318,0.0008318,0.0008318
